Time;PumpSpeed;PumpVolFlow;MixValve;ThrotValve;TempSup;TempRet;Hall2Offset;Hall2Radiation;cp;mflow;deltaT;Qflow
1792800;2547.401843;0.000200606;0.194681446;0.655380554;310.4273211;300.3397944;12.17816092;295.3157328;4.18;0.200606345;10.0875267;-8458.739386
1803600;2547.275887;0.000194385;0.229954243;0.65530026;320.5775887;308.1480141;12.34601579;296.5933597;4.18;0.194385339;12.42957458;-10099.41117
1814400;2547.358209;0.000194504;0.22411843;0.655266567;319.5640114;308.5578239;12.45638068;297.3569214;4.18;0.194503711;11.00618749;-8948.311219
1825200;2547.375972;0.000194503;0.213148883;0.655271085;318.2020848;307.9895759;12.91833811;297.6138968;4.18;0.194503334;10.21250892;-8303.014199
1836000;2547.336409;0.000194504;0.207855799;0.655282191;316.9367992;307.3707239;12.82242991;297.7974479;4.18;0.194503585;9.566075319;-7777.458236
1846800;2547.380171;0.000194345;0.204163405;0.655279359;316.2587019;306.7878031;12.20390456;295.9639552;4.18;0.194345376;9.470898823;-7693.814155
1857600;2547.466094;0.000194373;0.203490018;0.655272659;315.8763519;306.6118892;12.27874564;296.9533101;4.18;0.19437291;9.264462726;-7527.179238
1868400;2547.417808;0.000195167;0.215852607;0.655321004;314.0813698;302.339589;11.9382716;296.8966392;4.18;0.195167425;11.74178089;-9578.942907
1879200;2547.280084;0.000193897;0.195445977;0.6552927;314.3319014;305.6340851;11.77966102;297.1899718;4.18;0.193897096;8.697816349;-7049.491965
1890000;2547.44813;0.000194601;0.195250978;0.655266686;314.4736582;305.7693498;11.75671853;297.3286421;4.18;0.194601378;8.704308319;-7080.378236
1900800;2547.338266;0.000194444;0.198267249;0.655257802;314.85148;305.9623328;12.11095406;297.4013074;4.18;0.194444441;8.889147169;-7224.901159
1911600;2547.392405;0.000194034;0.199918977;0.655268732;315.4029909;306.2094236;12.34134276;297.4444876;4.18;0.194034221;9.193567209;-7456.562601
1922400;2547.390848;0.000194215;0.209365314;0.655285124;316.3616542;306.568994;12.25339367;297.3864253;4.18;0.194215217;9.792660183;-7949.873551
1933200;4.18;0;0;0;316.3616542;306.568994;12.25339367;297.3864253;4.18;0.194215217;9.792660183;-7949.873551
1944000;2547.445614;0.000194396;0.206480199;0.655267945;316.9721247;307.5060525;12.65225066;298.0206973;4.18;0.194395708;9.466072173;-7691.884701
1954800;2547.371201;0.000194404;0.20304258;0.655253854;316.9882608;307.3863242;12.45294118;297.9613235;4.18;0.194404242;9.60193663;-7802.627138
